  81,   52,  102,   70,   21,   18,    1,    0
 359,   26,  375,   41,   16,   15,    2,    0
 221,   20,  238,   37,   17,   17,    3,    0
 337,   31,  352,   46,   15,   15,    4,    0
  15,  341,   33,  359,   18,   18,    5,    0
 272,  169,  283,  182,   11,   13,    6,    0
 111,  326,  134,  348,   23,   22,    7,    0
 393,  465,  416,  486,   23,   21,    8,    0
 472,   77,  496,   99,   24,   22,    9,    0
   0,  230,   24,  254,   24,   24,   10,    0
 433,    6,  443,   17,   10,   11,   11,    0
 126,  472,  136,  483,   10,   11,   12,    0
 306,  282,  315,  292,    9,   10,   13,    0
 386,  308,  396,  316,   10,    8,   14,    0
 399,  144,  408,  152,    9,    8,   15,    0
 406,   47,  444,   83,   38,   36,   16,    0
 132,   89,  147,  103,   15,   14,   17,    0
 131,   38,  138,   46,    7,    8,   18,    0
 238,  465,  264,  486,   26,   21,   19,    0
 460,    1,  502,   41,   42,   40,   20,    0
  50,  179,   55,  188,    5,    9,   21,    0
  81,   52,  102,   70,   21,   18,    1,    1
 359,   26,  375,   41,   16,   15,    2,    1
 221,   20,  238,   37,   17,   17,    3,    1
 337,   31,  352,   46,   15,   15,    4,    1
  15,  341,   33,  359,   18,   18,    5,    1
 272,  169,  283,  182,   11,   13,    6,    1
 111,  326,  134,  348,   23,   22,    7,    1
 393,  465,  416,  486,   23,   21,    8,    1
 472,   77,  496,   99,   24,   22,    9,    1
   0,  230,   25,  254,   25,   24,   10,    1
 433,    6,  443,   17,   10,   11,   11,    1
 126,  473,  137,  483,   11,   10,   12,    1
 306,  282,  315,  292,    9,   10,   13,    1
 386,  308,  396,  316,   10,    8,   14,    1
 399,  144,  408,  152,    9,    8,   15,    1
 406,   47,  444,   83,   38,   36,   16,    1
 132,   89,  147,  103,   15,   14,   17,    1
 131,   38,  138,   46,    7,    8,   18,    1
 238,  465,  264,  486,   26,   21,   19,    1
 459,    3,  500,   43,   41,   40,   20,    1
  50,  179,   55,  188,    5,    9,   21,    1
  82,   51,  103,   69,   21,   18,    1,    2
 360,   25,  377,   41,   17,   16,    2,    2
 223,   20,  241,   38,   18,   18,    3,    2
 338,   30,  354,   45,   16,   15,    4,    2
  13,  339,   32,  357,   19,   18,    5,    2
 273,  168,  284,  182,   11,   14,    6,    2
 111,  324,  134,  346,   23,   22,    7,    2
 395,  463,  417,  482,   22,   19,    8,    2
 474,   78,  497,   99,   23,   21,    9,    2
   1,  230,   26,  253,   25,   23,   10,    2
 435,    4,  445,   15,   10,   11,   11,    2
 127,  471,  138,  482,   11,   11,   12,    2
 307,  280,  316,  290,    9,   10,   13,    2
 387,  308,  397,  317,   10,    9,   14,    2
 401,  141,  410,  151,    9,   10,   15,    2
 410,   52,  445,   87,   35,   35,   16,    2
 134,   88,  147,  101,   13,   13,   17,    2
 133,   36,  139,   43,    6,    7,   18,    2
 240,  466,  266,  488,   26,   22,   19,    2
 463,    0,  495,   44,   32,   44,   20,    2
  51,  178,   57,  187,    6,    9,   21,    2
  59,   74,   68,   83,    9,    9,   22,    2
 283,  500,  297,  512,   14,   12,   23,    2
  83,   51,  103,   69,   20,   18,    1,    3
 361,   24,  377,   40,   16,   16,    2,    3
 224,   20,  242,   38,   18,   18,    3,    3
 339,   29,  354,   44,   15,   15,    4,    3
  12,  339,   31,  356,   19,   17,    5,    3
 274,  168,  285,  181,   11,   13,    6,    3
 111,  323,  134,  345,   23,   22,    7,    3
 396,  463,  418,  481,   22,   18,    8,    3
 474,   78,  498,   99,   24,   21,    9,    3
   2,  230,   27,  253,   25,   23,   10,    3
 435,    4,  445,   14,   10,   10,   11,    3
 128,  471,  138,  481,   10,   10,   12,    3
 307,  279,  317,  290,   10,   11,   13,    3
 387,  308,  397,  318,   10,   10,   14,    3
 402,  139,  411,  150,    9,   11,   15,    3
 411,   54,  446,   89,   35,   35,   16,    3
 135,   88,  147,  100,   12,   12,   17,    3
 133,   35,  140,   43,    7,    8,   18,    3
 240,  466,  267,  489,   27,   23,   19,    3
 464,    1,  499,   44,   35,   43,   20,    3
  51,  178,   56,  187,    5,    9,   21,    3
  58,   74,   68,   83,   10,    9,   22,    3
 283,  500,  297,  511,   14,   11,   23,    3
  83,   51,  103,   69,   20,   18,    1,    4
 361,   24,  377,   40,   16,   16,    2,    4
 224,   20,  243,   38,   19,   18,    3,    4
 339,   29,  355,   44,   16,   15,    4,    4
  12,  338,   31,  356,   19,   18,    5,    4
 274,  168,  285,  181,   11,   13,    6,    4
 111,  322,  134,  345,   23,   23,    7,    4
 396,  463,  418,  481,   22,   18,    8,    4
 475,   78,  498,   99,   23,   21,    9,    4
   2,  230,   27,  252,   25,   22,   10,    4
 435,    4,  445,   14,   10,   10,   11,    4
 128,  471,  138,  481,   10,   10,   12,    4
 307,  278,  317,  290,   10,   12,   13,    4
 387,  308,  397,  318,   10,   10,   14,    4
 402,  139,  411,  149,    9,   10,   15,    4
 411,   55,  446,   89,   35,   34,   16,    4
 135,   88,  147,  100,   12,   12,   17,    4
 133,   35,  140,   43,    7,    8,   18,    4
 240,  466,  267,  489,   27,   23,   19,    4
 464,    1,  501,   44,   37,   43,   20,    4
  51,  178,   56,  187,    5,    9,   21,    4
  58,   74,   69,   83,   11,    9,   22,    4
 283,  500,  297,  512,   14,   12,   23,    4
  83,   50,  103,   68,   20,   18,    1,    5
 363,   23,  379,   39,   16,   16,    2,    5
 227,   21,  245,   38,   18,   17,    3,    5
 341,   28,  357,   43,   16,   15,    4,    5
  13,  335,   33,  355,   20,   20,    5,    5
 276,  168,  288,  181,   12,   13,    6,    5
 112,  320,  135,  342,   23,   22,    7,    5
 396,  462,  419,  482,   23,   20,    8,    5
 477,   77,  500,   98,   23,   21,    9,    5
   4,  229,   30,  253,   26,   24,   10,    5
 438,    2,  447,   11,    9,    9,   11,    5
 130,  469,  140,  479,   10,   10,   12,    5
 309,  277,  318,  289,    9,   12,   13,    5
 387,  311,  398,  319,   11,    8,   14,    5
 404,  137,  413,  146,    9,    9,   15,    5
 412,   55,  448,   89,   36,   34,   16,    5
 137,   87,  149,   99,   12,   12,   17,    5
 135,   32,  142,   40,    7,    8,   18,    5
 241,  466,  267,  489,   26,   23,   19,    5
 469,    2,  501,   50,   32,   48,   20,    5
  54,  176,   59,  186,    5,   10,   21,    5
  58,   74,   69,   83,   11,    9,   22,    5
 283,  500,  297,  512,   14,   12,   23,    5
 463,   39,  482,   56,   19,   17,   24,    5
 321,  378,  330,  389,    9,   11,   25,    5
  83,   50,  103,   68,   20,   18,    1,    6
 363,   23,  380,   39,   17,   16,    2,    6
 228,   21,  246,   38,   18,   17,    3,    6
 342,   28,  357,   43,   15,   15,    4,    6
  13,  334,   34,  355,   21,   21,    5,    6
 277,  168,  288,  181,   11,   13,    6,    6
 112,  320,  135,  341,   23,   21,    7,    6
 396,  462,  419,  482,   23,   20,    8,    6
 477,   76,  500,   98,   23,   22,    9,    6
   5,  229,   30,  252,   25,   23,   10,    6
